,Unnamed: 0,Unnamed: 0.1,alfab_dez_mais,area_hectare,dens_dem,dist_marco_zero,morador_por_domic,nome_bairro,num_domic,pop_0_4,pop_15_17,pop_18_24,pop_25_59,pop_5_14,pop_60_,pop_fem,pop_masc,pop_porc_amarela,pop_porc_branca,pop_porc_indigena,pop_porc_parda,pop_porc_preta,populacao,prop_resp_fem,rend_medio,rpa,taxa_m_cresc,qtd_chamados,chamados_p_area
43,43,43,97.7,61,124.3,5.48,3.1,PARNAMIRIM,2458,382,343,930,3883,852,1246,4228,3408,0.35,74.23,0.18,23.31,1.93,7636,43.47,10712.06,3,2.24,373.0,6.114754098360656
44,44,44,96.9,44,1.65,15.38,4.5,PAU FERRO,16,4,4,4,41,10,9,38,34,1.39,66.67,0.0,27.77,4.17,72,31.25,7735.06,3,-14.28,,
45,45,45,97.6,81,56.74,6.56,3.2,POCO,1463,240,164,487,2477,528,719,2518,2097,0.15,69.25,0.09,27.71,2.8,4615,34.97,9346.35,3,1.43,333.0,4.111111111111111
46,46,46,97.6,47,64.65,5.55,3.1,SANTANA,978,176,101,325,1605,331,525,1678,1376,0.39,66.4,0.1,28.2,4.91,3054,38.96,9040.76,3,2.28,208.0,4.425531914893617
47,47,47,91.5,180,40.49,10.99,3.4,SITIO DOS PINTOS,2132,497,390,980,3566,1253,590,3781,3495,1.4,32.02,0.48,51.33,10.77,7276,44.59,1841.34,3,2.54,281.0,1.5611111111111111
48,48,48,98.5,102,138.18,5.04,3.1,TAMARINEIRA,4537,657,591,1647,7302,1547,2380,7973,6151,1.19,65.14,0.3,29.75,3.63,14124,47.76,7904.04,3,1.93,636.0,6.235294117647059
49,49,49,91.8,160,193.38,7.79,3.4,VASCO DA GAMA,9113,2058,1653,3830,15302,4857,3325,16524,14501,0.98,33.19,0.22,55.38,10.23,31025,49.51,1165.9,3,0.53,1298.0,8.1125
50,50,50,93.3,244,39.44,9.72,3.4,CAXANGA,2863,680,557,1245,4928,1493,731,5050,4584,1.87,39.84,0.81,48.18,9.3,9634,45.37,2231.32,4,3.75,678.0,2.778688524590164
51,51,51,92.8,162,5.05,8.89,3.5,CIDADE UNIVERSITARIA,222,63,42,121,403,122,67,399,419,0.37,34.11,0.24,58.07,7.21,818,32.88,2044.3,4,3.1,103.0,0.6358024691358025
52,52,52,95.3,340,121.02,6.54,3.2,CORDEIRO,12797,2456,1762,4906,21369,5285,5386,22748,18416,0.97,46.83,0.29,44.43,7.48,41164,47.9,2812.73,4,0.93,2059.0,6.055882352941176
